aves_aa_564-50v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:38:54, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-51r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:38:59, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-51v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:11, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-52r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:17, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-52v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:31, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-53r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:34, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-53v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:40, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-54r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:42, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-54v.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:39:56, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
aves_aa_564-55r.jpg: JPEG image data, Exif standard: [TIFF image data, big-endian, direntries=12, height=3000, manufacturer=OnePlus, model=GM1903, orientation=upper-right, xresolution=174, yresolution=182, resolutionunit=2, datetime=2021:02:10 10:40:01, GPS-Data, width=4000], baseline, precision 8, 4000x3000, components 3
