Id,Label,Cat
aves_aa_4R_auth_0380,"messer, johanns",personne
aves_aa_4R_auth_0381,"hochfelden, von, walther",personne
aves_aa_4R_auth_0382,"voltz, küntz",personne
aves_aa_4R_auth_0383,,personne
aves_aa_4R_auth_0384,"ruhlmann, claus",personne
aves_aa_4R_auth_0385,"wingersheim, dielmann",personne
aves_aa_4R_auth_0386,,personne
aves_aa_4R_auth_0387,"volmar, fritsch",personne
aves_aa_4R_auth_0388,,personne
aves_aa_4R_auth_0389,"müsinger, johanns",personne
aves_aa_4R_auth_0390,"villinger, bertsch",personne
aves_aa_4R_auth_0391,,personne
aves_aa_4R_auth_0392,"voltz, peter",personne
aves_aa_4R_auth_0393,"berse, von, johanns",personne
aves_aa_4R_auth_0394,"wangen, von, johanns",personne
aves_aa_4R_auth_0395,"kücheler, bartholomeus",personne
aves_aa_4R_auth_0396,"messner, andres",personne
aves_aa_4R_auth_0397,"regisheim, claus",personne
aves_aa_4R_auth_0398,"hüter, marx",personne
aves_aa_4R_auth_0399,"bader, oswalt",personne
aves_aa_4R_auth_0400,"schindeler, küntz",personne
aves_aa_4R_auth_0401,"herde, von, andres",personne
aves_aa_4R_auth_0402,"bergheim, von, hug",personne
aves_aa_4R_auth_0403,"altheim, küntz",personne
aves_aa_4R_auth_0404,"müller, thoman",personne
aves_aa_4R_auth_0405,"happmacher, jacob",personne
aves_aa_4R_auth_0406,"lahr, von, johanns",personne
aves_aa_4R_auth_0407,"morsmünster, von, claus",personne
aves_aa_4R_auth_0408,,personne
aves_aa_4R_auth_0409,"diener, claus",personne
aves_aa_4R_auth_0410,"dusche, fritsch",personne
aves_aa_4R_auth_0411,,personne
aves_aa_4R_auth_0412,"hühnerer, küntz",personne
aves_aa_4R_auth_0413,"henneckin, johanns",personne
aves_aa_4R_auth_0414,"schertzheim, jerge",personne
aves_aa_4R_auth_0415,"messner, wernher",personne
aves_aa_4R_auth_0416,"ricker, claus",personne
aves_aa_4R_auth_0417,"dreitzehn, jerge",personne
aves_aa_4R_auth_0418,"weipolt, johanns",personne
aves_aa_4R_auth_0419,"mentz, von, küntz",personne
